,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
747,Midnight in Paris,2011,86,7.7,81.0,52480,56.82
748,The Lego Movie,2014,86,7.7,83.0,52480,257.76
749,Gravity,2013,86,7.7,96.0,52480,274.09
750,Star Trek Into Darkness,2013,86,7.7,72.0,52480,228.78
751,Beasts of No Nation,2015,86,7.7,79.0,52480,0.08
752,The Social Network,2010,86,7.7,95.0,52480,96.96
753,X-Men: First Class,2011,86,7.7,65.0,52480,146.41
754,The Hangover,2009,86,7.7,73.0,52480,277.32
755,Silver Linings Playbook,2012,86,7.7,81.0,52480,132.09
756,Argo,2012,86,7.7,86.0,52480,136.03
757,500 Days of Summer,2009,86,7.7,76.0,52480,32.39
758,Harry Potter and the Deathly Hallows: Part 1,2010,86,7.7,65.0,52480,295.98
759,Ponyo,2008,86,7.7,86.0,52480,15.09
760,Frost/Nixon,2008,86,7.7,80.0,52480,18.59
761,Paprika,2006,86,7.7,81.0,52480,0.88
762,Changeling,2008,86,7.7,63.0,52480,35.74
763,Flipped,2010,86,7.7,45.0,52480,1.75
764,The Girl Who Leapt Through Time,2006,86,7.7,None Given,52480,Not calculated
765,Death Note,2006,86,7.7,None Given,52480,Not calculated
766,This Is England,2006,86,7.7,86.0,52480,0.33
767,Ex Machina,2014,86,7.7,78.0,52480,25.44
768,After the Wedding,2006,86,7.7,78.0,52480,0.41
769,The Last King of Scotland,2006,86,7.7,74.0,52480,17.61
770,Zodiac,2007,86,7.7,78.0,52480,33.08
771,Lucky Number Slevin,2006,86,7.7,53.0,52480,22.49
772,Joyeux Noel,2005,86,7.7,70.0,52480,1.05
773,Control,2007,86,7.7,78.0,52480,0.87
774,Tangled,2010,86,7.7,71.0,52480,200.82
775,Black Book,2006,86,7.7,71.0,52480,4.4
776,Brokeback Mountain,2005,86,7.7,87.0,52480,83.04
777,3:10 to Yuma,2007,86,7.7,76.0,52480,53.61
778,Crash,2004,86,7.7,66.0,52480,54.58
779,Kung Fu Hustle,2004,86,7.7,78.0,52480,17.11
780,The Bourne Supremacy,2004,86,7.7,73.0,52480,176.24
781,The Machinist,2004,86,7.7,61.0,52480,1.08
782,Ray,2004,86,7.7,73.0,52480,75.33
783,Lost in Translation,2003,86,7.7,89.0,52480,44.59
784,Harry Potter and the Goblet of Fire,2005,86,7.7,81.0,52480,290.01
785,Man on Fire,2004,86,7.7,47.0,52480,77.91
786,Coraline,2009,86,7.7,80.0,52480,75.29
787,The Last Samurai,2003,86,7.7,55.0,52480,111.11
788,The Magdalene Sisters,2002,86,7.7,83.0,52480,4.89
789,Good Bye Lenin!,2003,86,7.7,68.0,52480,4.06
790,In America,2002,86,7.7,76.0,52480,15.54
791,I Am Sam,2001,86,7.7,28.0,52480,40.31
792,Adaptation.,2002,86,7.7,83.0,52480,22.25
793,Black Hawk Down,2001,86,7.7,74.0,52480,108.64
794,Road to Perdition,2002,86,7.7,72.0,52480,104.45
795,The Experiment,2001,86,7.7,60.0,52480,0.14
796,Billy Elliot,2000,86,7.7,74.0,52480,22.0
797,Hedwig and the Angry Inch,2001,86,7.7,85.0,52480,3.03
798,Ocean's Eleven,2001,86,7.7,74.0,52480,183.42
799,Vampire Hunter D: Bloodlust,2000,86,7.7,62.0,52480,0.15
800,"O Brother, Where Art Thou?",2000,86,7.7,69.0,52480,45.51
801,Interstate 60: Episodes of the Road,2002,86,7.7,None Given,52480,Not calculated
802,"South Park: Bigger, Longer & Uncut",1999,86,7.7,73.0,52480,52.04
803,Office Space,1999,86,7.7,68.0,52480,10.82
804,Happiness,1998,86,7.7,81.0,52480,2.81
805,Training Day,2001,86,7.7,69.0,52480,76.63
806,Rushmore,1998,86,7.7,86.0,52480,17.11
807,Open Your Eyes,1997,86,7.7,None Given,52480,0.37
808,Being John Malkovich,1999,86,7.7,90.0,52480,22.86
809,As Good as It Gets,1997,86,7.7,67.0,52480,148.48
810,The Fifth Element,1997,86,7.7,52.0,52480,63.54
811,Le Dîner de Cons,1998,86,7.7,73.0,52480,4.07
812,Donnie Brasco,1997,86,7.7,76.0,52480,41.91
813,Shine,1996,86,7.7,87.0,52480,35.81
814,Primal Fear,1996,86,7.7,47.0,52480,56.12
815,Hamlet,1996,86,7.7,None Given,52480,4.41
816,A Little Princess,1995,86,7.7,83.0,52480,10.02
817,Fallen Angels,1995,86,7.7,71.0,52480,Not calculated
818,Il Postino,1994,86,7.7,81.0,52480,21.85
819,Clerks,1994,86,7.7,70.0,52480,3.15
820,Short Cuts,1993,86,7.7,79.0,52480,6.11
821,Philadelphia,1993,86,7.7,66.0,52480,77.32
822,The Muppet Christmas Carol,1992,86,7.7,64.0,52480,27.28
823,Malcolm X,1992,86,7.7,73.0,52480,48.17
824,The Last of the Mohicans,1992,86,7.7,76.0,52480,75.51
825,Porco Rosso,1992,86,7.7,83.0,52480,Not calculated
826,Glengarry Glen Ross,1992,86,7.7,82.0,52480,10.73
827,A Few Good Men,1992,86,7.7,62.0,52480,141.34
828,Fried Green Tomatoes,1991,86,7.7,64.0,52480,82.42
829,Barton Fink,1991,86,7.7,69.0,52480,6.15
830,Miller's Crossing,1990,86,7.7,66.0,52480,5.08
831,Who Framed Roger Rabbit,1988,86,7.7,83.0,52480,156.45
832,The Vanishing,1988,86,7.7,None Given,52480,Not calculated
833,Withnail & I,1987,86,7.7,84.0,52480,1.54
834,The Last Emperor,1987,86,7.7,76.0,52480,43.98
835,Empire of the Sun,1987,86,7.7,62.0,52480,22.24
836,The Name of the Rose,1986,86,7.7,54.0,52480,7.15
837,Blue Velvet,1986,86,7.7,76.0,52480,8.55
838,The Purple Rose of Cairo,1985,86,7.7,75.0,52480,10.63
839,After Hours,1985,86,7.7,90.0,52480,10.6
840,Zelig,1983,86,7.7,None Given,52480,11.8
841,The Verdict,1982,86,7.7,77.0,52480,54.0
842,Star Trek II: The Wrath of Khan,1982,86,7.7,67.0,52480,78.91
843,First Blood,1982,86,7.7,61.0,52480,47.21
844,Ordinary People,1980,86,7.7,86.0,52480,54.8
845,Airplane!,1980,86,7.7,78.0,52480,83.4
846,Lupin the 3rd: Castle of Cagliostro,1979,86,7.7,71.0,52480,Not calculated
847,Halloween,1978,86,7.7,87.0,52480,47.0
848,The Tenant,1976,86,7.7,71.0,52480,1.92
849,Love and Death,1975,86,7.7,89.0,52480,Not calculated
850,The Taking of Pelham One Two Three,1974,86,7.7,68.0,52480,0.85
851,Blazing Saddles,1974,86,7.7,73.0,52480,119.5
852,Serpico,1973,86,7.7,87.0,52480,29.8
853,Enter the Dragon,1973,86,7.7,83.0,52480,25.0
854,Deliverance,1972,86,7.7,80.0,52480,7.06
855,The French Connection,1971,86,7.7,94.0,52480,15.63
856,Dirty Harry,1971,86,7.7,90.0,52480,35.9
857,Where Eagles Dare,1968,86,7.7,63.0,52480,Not calculated
858,The Odd Couple,1968,86,7.7,86.0,52480,44.53
859,The Dirty Dozen,1967,86,7.7,73.0,52480,45.3
860,Belle de Jour,1967,86,7.7,None Given,52480,0.03
861,A Man for All Seasons,1966,86,7.7,72.0,52480,28.35
862,Repulsion,1965,86,7.7,91.0,52480,Not calculated
863,Zulu,1964,86,7.7,77.0,52480,Not calculated
864,Goldfinger,1964,86,7.7,87.0,52480,51.08
865,The Birds,1963,86,7.7,90.0,52480,11.4
866,Cape Fear,1962,86,7.7,76.0,52480,Not calculated
867,Peeping Tom,1960,86,7.7,None Given,52480,0.08
868,The Magnificent Seven,1960,86,7.7,74.0,52480,4.91
869,Eyes Without a Face,1960,86,7.7,90.0,52480,0.05
870,Invasion of the Body Snatchers,1956,86,7.7,92.0,52480,Not calculated
871,Rebel Without a Cause,1955,86,7.7,89.0,52480,Not calculated
872,The Ladykillers,1955,86,7.7,91.0,52480,Not calculated
873,Sabrina,1954,86,7.7,72.0,52480,Not calculated
874,The Quiet Man,1952,86,7.7,None Given,52480,10.55
875,The Day the Earth Stood Still,1951,86,7.7,None Given,52480,Not calculated
876,The African Queen,1951,86,7.7,91.0,52480,0.54
877,Gilda,1946,86,7.7,None Given,52480,Not calculated
878,Fantasia,1940,86,7.7,96.0,52480,76.41
879,The Invisible Man,1933,86,7.7,87.0,52480,Not calculated
880,Judas and the Black Messiah,2021,86,7.6,85.0,52480,Not calculated
881,Dark Waters,2019,86,7.6,73.0,52480,Not calculated
882,Searching,2018,86,7.6,71.0,52480,26.02
883,Once Upon a Time... In Hollywood,2019,86,7.6,83.0,52480,142.5
884,Loveless,2017,86,7.6,86.0,52480,0.57
885,The Florida Project,2017,86,7.6,92.0,52480,5.9
886,Just Mercy,2019,86,7.6,68.0,52480,Not calculated
887,Gifted,2017,86,7.6,60.0,52480,24.8
888,The Peanut Butter Falcon,2019,86,7.6,70.0,52480,13.12
889,Victoria,2015,86,7.6,77.0,52480,Not calculated
890,Mustang,2015,86,7.6,83.0,52480,0.85
891,Guardians of the Galaxy Vol. 2,2017,86,7.6,67.0,52480,389.81
892,Baby Driver,2017,86,7.6,86.0,52480,107.83
893,Only the Brave,2017,86,7.6,72.0,52480,18.34
894,Bridge of Spies,2015,86,7.6,81.0,52480,72.31
895,Incredibles 2,2018,86,7.6,80.0,52480,608.58
896,Moana,2016,86,7.6,81.0,52480,248.76
897,Sicario,2015,86,7.6,82.0,52480,46.89
898,Creed,2015,86,7.6,82.0,52480,109.77
899,Leviathan,2014,86,7.6,92.0,52480,1.09
900,Hell or High Water,2016,86,7.6,88.0,52480,26.86
901,Philomena,2013,86,7.6,77.0,52480,37.71
902,Dawn of the Planet of the Apes,2014,86,7.6,79.0,52480,208.55
903,The Body,2012,86,7.6,None Given,52480,Not calculated
904,The Raid: Redemption,2011,86,7.6,73.0,52480,4.11
905,End of Watch,2012,86,7.6,68.0,52480,41.0
906,The Secret World of Arrietty,2010,86,7.6,80.0,52480,19.2
907,A Star Is Born,2018,86,7.6,88.0,52480,215.29
908,True Grit,2010,86,7.6,80.0,52480,171.24
909,In a Better World,2010,86,7.6,65.0,52480,1.01
910,Despicable Me,2010,86,7.6,72.0,52480,251.51
911,50/50,2011,86,7.6,72.0,52480,35.01
912,Kick-Ass,2010,86,7.6,66.0,52480,48.07
913,Celda 211,2009,86,7.6,None Given,52480,Not calculated
914,Moneyball,2011,86,7.6,87.0,52480,75.61
915,The Skin I Live In,2011,86,7.6,70.0,52480,3.19
916,Zombieland,2009,86,7.6,73.0,52480,75.59
917,The Wave,2008,86,7.6,None Given,52480,Not calculated
918,Sherlock Holmes,2009,86,7.6,57.0,52480,209.03
919,The Blind Side,2009,86,7.6,53.0,52480,255.96
920,Seven Pounds,2008,86,7.6,36.0,52480,69.95
921,Eastern Promises,2007,86,7.6,82.0,52480,17.11
922,Stardust,2007,86,7.6,66.0,52480,38.63
923,The Secret of Kells,2009,86,7.6,81.0,52480,0.69
924,Inside Man,2006,86,7.6,76.0,52480,88.51
925,Gone Baby Gone,2007,86,7.6,72.0,52480,20.3
926,La Vie En Rose,2007,86,7.6,66.0,52480,10.3
927,Fearless,2006,86,7.6,70.0,52480,24.63
928,The Illusionist,2006,86,7.6,68.0,52480,39.87
929,Dead Man's Shoes,2004,86,7.6,52.0,52480,0.01
930,Harry Potter and the Half-Blood Prince,2009,86,7.6,78.0,52480,301.96
931,300,2006,86,7.6,52.0,52480,210.61
932,Match Point,2005,86,7.6,72.0,52480,23.09
933,Watchmen,2009,86,7.6,56.0,52480,107.51
934,Lord of War,2005,86,7.6,62.0,52480,24.15
935,Saw,2004,86,7.6,46.0,52480,56.0
936,"Synecdoche, New York",2008,86,7.6,67.0,52480,3.08
937,Mysterious Skin,2004,86,7.6,73.0,52480,0.7
938,Love Me If You Dare,2003,86,7.6,45.0,52480,0.55
939,A Very Long Engagement,2004,86,7.6,76.0,52480,6.17
940,The Station Agent,2003,86,7.6,81.0,52480,5.74
941,21 Grams,2003,86,7.6,70.0,52480,16.29
942,Sympathy for Mr. Vengeance,2002,86,7.6,56.0,52480,0.05
943,Finding Neverland,2004,86,7.6,67.0,52480,51.68
944,25th Hour,2002,86,7.6,68.0,52480,13.06
945,The Butterfly Effect,2004,86,7.6,30.0,52480,57.94
946,28 Days Later...,2002,86,7.6,73.0,52480,45.06
947,Battle Royale,2000,86,7.6,81.0,52480,Not calculated
948,The Royal Tenenbaums,2001,86,7.6,76.0,52480,52.36
949,Y Tu Mamá También,2001,86,7.6,88.0,52480,13.62
950,Harry Potter and the Sorcerer's Stone,2001,86,7.6,64.0,52480,317.58
951,The Others,2001,86,7.6,74.0,52480,96.52
952,Blow,2001,86,7.6,52.0,52480,52.99
953,Enemy at the Gates,2001,86,7.6,53.0,52480,51.4
954,Minority Report,2002,86,7.6,80.0,52480,132.07
955,American Psycho,2000,86,7.6,64.0,52480,15.07
956,Run Lola Run,1998,86,7.6,77.0,52480,7.27
957,The Thin Red Line,1998,86,7.6,78.0,52480,36.4
958,Mulan,1998,86,7.6,71.0,52480,120.62
959,Fear and Loathing in Las Vegas,1998,86,7.6,41.0,52480,10.68
960,Funny Games,1997,86,7.6,69.0,52480,Not calculated
961,Dark City,1998,86,7.6,66.0,52480,14.38
962,Sleepers,1996,86,7.6,49.0,52480,49.1
963,Lost Highway,1997,86,7.6,52.0,52480,3.8
964,Sense and Sensibility,1995,86,7.6,84.0,52480,43.18
965,Die Hard with a Vengeance,1995,86,7.6,58.0,52480,100.01
966,Dead Man,1995,86,7.6,62.0,52480,1.04
967,The Bridges of Madison County,1995,86,7.6,69.0,52480,71.52
968,Apollo 13,1995,86,7.6,77.0,52480,173.84
969,Three Colors: White,1994,86,7.6,88.0,52480,1.46
970,Falling Down,1993,86,7.6,56.0,52480,40.9
971,Dazed and Confused,1993,86,7.6,78.0,52480,7.99
972,My Cousin Vinny,1992,86,7.6,68.0,52480,52.93
973,Only Yesterday,1991,86,7.6,90.0,52480,0.45
974,Delicatessen,1991,86,7.6,66.0,52480,1.79
975,Home Alone,1990,86,7.6,63.0,52480,285.76
976,The Godfather: Part III,1990,86,7.6,60.0,52480,66.67
977,When Harry Met Sally...,1989,86,7.6,76.0,52480,92.82
978,The Little Mermaid,1989,86,7.6,88.0,52480,111.54
979,The Naked Gun: From the Files of Police Squad!,1988,86,7.6,76.0,52480,78.76
980,"Planes, Trains & Automobiles",1987,86,7.6,72.0,52480,49.53
981,Lethal Weapon,1987,86,7.6,68.0,52480,65.21
982,Blood Simple,1984,86,7.6,83.0,52480,2.15
983,On Golden Pond,1981,86,7.6,68.0,52480,119.29
984,The Road Warrior,1981,86,7.6,77.0,52480,12.47
985,The Warriors,1979,86,7.6,65.0,52480,22.49
986,The Muppet Movie,1979,86,7.6,74.0,52480,76.66
987,Escape from Alcatraz,1979,86,7.6,76.0,52480,43.0
988,Watership Down,1978,86,7.6,64.0,52480,Not calculated
989,Close Encounters of the Third Kind,1977,86,7.6,90.0,52480,132.09
990,The Long Goodbye,1973,86,7.6,87.0,52480,0.96
991,Duck You Sucker,1971,86,7.6,77.0,52480,0.7
992,Kelly's Heroes,1970,86,7.6,50.0,52480,1.38
993,The Jungle Book,1967,86,7.6,65.0,52480,141.84
994,A Hard Day's Night,1964,86,7.6,96.0,52480,13.78
995,Breakfast at Tiffany's,1961,86,7.6,76.0,52480,Not calculated
996,Giant,1956,86,7.6,84.0,52480,Not calculated
997,From Here to Eternity,1953,86,7.6,85.0,52480,30.5
998,Lifeboat,1944,86,7.6,78.0,52480,Not calculated
999,The 39 Steps,1935,86,7.6,93.0,52480,Not calculated
